Valuador,Muestra,NombreProducto,CodigoProducto,CodigoMuestra
V1,2,Lt,420,M262
V1,3,S,266,M261
V1,1,Mp,510,M299
V1,4,Td,360,M970
V2,3,S,266,M950
V2,4,Td,360,M122
V2,2,Lt,420,M564
V2,1,Mp,510,M871
V3,4,Td,360,M951
V3,1,Mp,510,M633
V3,3,S,266,M628
V3,2,Lt,420,M323
V4,1,Mp,510,M797
V4,2,Lt,420,M238
V4,4,Td,360,M90
V4,3,S,266,M738
V5,4,Td,360,M350
V5,1,Mp,510,M366
V5,3,S,266,M658
V5,2,Lt,420,M383
V6,1,Mp,510,M918
V6,2,Lt,420,M125
V6,4,Td,360,M972
V6,3,S,266,M62
V7,2,Lt,420,M1
V7,3,S,266,M13
V7,1,Mp,510,M771
V7,4,Td,360,M291
V8,3,S,266,M527
V8,4,Td,360,M634
V8,2,Lt,420,M510
V8,1,Mp,510,M694
V9,2,Lt,420,M171
V9,4,Td,360,M343
V9,3,S,266,M12
V9,1,Mp,510,M227
V10,4,Td,360,M580
V10,1,Mp,510,M255
V10,2,Lt,420,M734
V10,3,S,266,M91
V11,1,Mp,510,M347
V11,3,S,266,M22
V11,4,Td,360,M65
V11,2,Lt,420,M938
V12,3,S,266,M850
V12,2,Lt,420,M525
V12,1,Mp,510,M153
V12,4,Td,360,M487
V13,4,Td,360,M948
V13,1,Mp,510,M792
V13,3,S,266,M401
V13,2,Lt,420,M617
V14,1,Mp,510,M922
V14,2,Lt,420,M409
V14,4,Td,360,M186
V14,3,S,266,M363
V15,2,Lt,420,M320
V15,3,S,266,M29
V15,1,Mp,510,M669
V15,4,Td,360,M729
V16,3,S,266,M583
V16,4,Td,360,M879
V16,2,Lt,420,M342
V16,1,Mp,510,M445
V17,2,Lt,420,M235
V17,3,S,266,M263
V17,1,Mp,510,M92
V17,4,Td,360,M175
V18,3,S,266,M754
V18,4,Td,360,M203
V18,2,Lt,420,M551
V18,1,Mp,510,M144
V19,4,Td,360,M380
V19,1,Mp,510,M330
V19,3,S,266,M434
V19,2,Lt,420,M602
V20,1,Mp,510,M341
V20,2,Lt,420,M714
V20,4,Td,360,M995
V20,3,S,266,M532
