panelista,tratamiento,Intensidad de color,Intensidad aromática,Frutal,Floral,Herbáceo,Tostado,Acidez,Amargo,Volumen en boca,Dulzor
v1,Lt,0,1,3,0,1,0,3,0,2,0
v1,Mp,3,3,1,2,1,0,0,0,0,2
v1,S,2,0,0,1,0,1,1,0,0,2
v1,Td,2,2,1,1,0,3,1,0,3,1
v2,Lt,2,1,1,0,0,1,0,0,0,1
v2,Mp,1,2,0,2,2,0,1,0,0,0
v2,S,1,1,0,1,0,3,0,1,1,0
v2,Td,1,2,0,1,1,1,0,0,1,0
v3,Lt,3,1,1,2,0,0,1,1,1,1
v3,Mp,2,2,1,1,1,0,2,1,2,0
v3,S,3,2,2,1,1,0,2,3,1,0
v3,Td,1,2,1,2,1,0,3,2,1,1
v4,Lt,2,1,1,1,0,0,1,2,1,0
v4,Mp,1,1,1,2,0,0,3,1,1,0
v4,S,1,2,1,1,0,0,1,2,0,0
v4,Td,2,1,1,1,0,0,1,0,1,0
v5,Lt,2,1,0,1,1,0,1,1,2,0
v5,Mp,1,1,1,1,0,0,1,1,1,0
v5,S,2,2,2,1,0,0,1,0,1,0
v5,Td,2,3,1,2,0,0,2,0,2,0
v6,Lt,1,2,2,1,1,0,3,2,2,1
v6,Mp,2,2,3,2,1,0,2,2,2,1
v6,S,3,3,2,0,1,0,3,1,2,1
v6,Td,1,2,1,1,1,0,2,2,1,1
v7,Lt,1,1,1,0,0,0,2,1,1,1
v7,Mp,1,1,1,0,1,2,0,1,2,1
v7,S,2,1,1,1,1,2,1,2,2,1
v7,Td,1,2,2,2,1,0,3,0,0,1
v8,Lt,2,2,1,0,0,1,2,2,1,2
v8,Mp,1,2,2,1,1,0,2,1,0,1
v8,S,1,1,1,2,0,3,2,1,1,2
v8,Td,1,2,0,1,1,0,2,1,1,1
v9,Lt,3,2,1,2,0,1,2,3,2,2
v9,Mp,3,0,0,0,0,0,1,1,0,1
v9,S,3,2,0,0,1,0,1,2,1,2
v9,Td,2,0,0,0,1,0,1,3,0,1
v10,Lt,1,1,0,1,0,0,1,0,1,0
v10,Mp,1,2,1,1,0,0,2,0,2,1
v10,S,1,1,1,0,0,0,2,1,2,1
v10,Td,1,2,3,1,0,1,3,0,2,0
v11,Lt,2,3,3,1,0,1,2,3,2,1
v11,Mp,1,2,3,1,0,2,2,2,1,1
v11,S,1,3,3,1,0,1,0,1,2,1
v11,Td,2,3,3,2,0,1,2,1,2,2
v12,Lt,2,2,1,2,0,1,2,1,1,0
v12,Mp,1,2,0,2,1,1,2,1,2,0
v12,S,1,3,1,3,0,0,3,1,2,0
v12,Td,1,1,3,2,0,0,2,1,1,0
v13,Lt,3,1,0,3,2,0,1,1,3,0
v13,Mp,1,1,1,2,0,1,2,3,1,0
v13,S,2,2,0,1,2,2,1,3,2,0
v13,Td,1,2,1,3,1,0,1,3,1,0
v14,Lt,2,2,2,2,0,0,2,2,3,2
v14,Mp,2,3,2,0,0,1,2,1,2,2
v14,S,2,2,2,0,0,2,2,3,2,2
v14,Td,2,3,3,0,0,2,2,1,3,2
v15,Lt,3,2,1,2,0,1,0,2,3,0
v15,Mp,2,1,0,1,0,1,1,1,1,0
v15,S,2,1,1,2,0,1,1,1,2,0
v15,Td,2,2,2,1,0,0,2,1,2,0
v16,Lt,3,1,2,1,1,0,1,2,3,1
v16,Mp,1,0,1,1,3,2,3,2,1,1
v16,S,2,3,2,1,3,0,2,1,1,2
v16,Td,2,1,1,2,1,1,3,2,2,1
v17,Lt,1,2,2,2,1,2,2,1,1,1
v17,Mp,1,2,1,2,2,2,3,1,1,0
v17,S,2,2,2,0,2,0,1,2,2,0
v17,Td,3,1,1,1,0,2,2,3,2,0
