Valuador,Muestra,NombreProducto,CodigoProducto
V1,2,Lt,420
V1,3,S,266
V1,1,Mp,510
V1,4,Td,360
V2,3,S,266
V2,4,Td,360
V2,2,Lt,420
V2,1,Mp,510
V3,4,Td,360
V3,1,Mp,510
V3,3,S,266
V3,2,Lt,420
V4,1,Mp,510
V4,2,Lt,420
V4,4,Td,360
V4,3,S,266
V5,4,Td,360
V5,1,Mp,510
V5,3,S,266
V5,2,Lt,420
V6,1,Mp,510
V6,2,Lt,420
V6,4,Td,360
V6,3,S,266
V7,2,Lt,420
V7,3,S,266
V7,1,Mp,510
V7,4,Td,360
V8,3,S,266
V8,4,Td,360
V8,2,Lt,420
V8,1,Mp,510
V9,2,Lt,420
V9,4,Td,360
V9,3,S,266
V9,1,Mp,510
V10,4,Td,360
V10,1,Mp,510
V10,2,Lt,420
V10,3,S,266
V11,1,Mp,510
V11,3,S,266
V11,4,Td,360
V11,2,Lt,420
V12,3,S,266
V12,2,Lt,420
V12,1,Mp,510
V12,4,Td,360
V13,4,Td,360
V13,1,Mp,510
V13,3,S,266
V13,2,Lt,420
V14,1,Mp,510
V14,2,Lt,420
V14,4,Td,360
V14,3,S,266
V15,2,Lt,420
V15,3,S,266
V15,1,Mp,510
V15,4,Td,360
V16,3,S,266
V16,4,Td,360
V16,2,Lt,420
V16,1,Mp,510
V17,2,Lt,420
V17,3,S,266
V17,1,Mp,510
V17,4,Td,360
V18,3,S,266
V18,4,Td,360
V18,2,Lt,420
V18,1,Mp,510
V19,4,Td,360
V19,1,Mp,510
V19,3,S,266
V19,2,Lt,420
V20,1,Mp,510
V20,2,Lt,420
V20,4,Td,360
V20,3,S,266
