"atributo","efecto","F","p_valor","significativo_0.05"
"Intensidad de color","tratamiento",1.66233766233766,0.187582333142974,"No"
"Intensidad de color","panelista",1.73766233766233,0.0712103911619482,"No"
"Intensidad aromática","tratamiento",0.709401709401711,0.551144015862905,"No"
"Intensidad aromática","panelista",1.5,0.139134743149438,"No"
"Frutal","tratamiento",0.433333333333334,0.730101102140705,"No"
"Frutal","panelista",3.21250000000001,0.000893236423388631,"Sí"
"Floral","tratamiento",0.926406926406926,0.435235997471116,"No"
"Floral","panelista",1.74025974025974,0.0706786313310355,"No"
"Herbáceo","tratamiento",1.26608695652174,0.296582621325191,"No"
"Herbáceo","panelista",3.61565217391304,0.000281250024993311,"Sí"
"Tostado","tratamiento",0.681431005110732,0.567737452430361,"No"
"Tostado","panelista",1.46678023850085,0.152313279449733,"No"
"Acidez","tratamiento",1.18907987866533,0.323858364236609,"No"
"Acidez","panelista",2.12032355915066,0.0230441411952003,"Sí"
"Amargo","tratamiento",0.960739030023091,0.418949958151443,"No"
"Amargo","panelista",3.90069284064665,0.000126872397209845,"Sí"
"Volumen en boca","tratamiento",1.81858902575587,0.156361730303335,"No"
"Volumen en boca","panelista",1.98544232922732,0.0344446859023018,"Sí"
"Dulzor","tratamiento",0.67924528301887,0.569049888619568,"No"
"Dulzor","panelista",8.9622641509434,1.47049869043349e-09,"Sí"
