"atributo","tratamiento","media","error_estandar","groups","media_error_grupo"
"Intensidad de color","Lt",1.94117647058824,0.218123484914578,"a","1.94 ± 0.22 a"
"Intensidad de color","Mp",1.47058823529412,0.174002346561753,"a","1.47 ± 0.17 a"
"Intensidad de color","S",1.82352941176471,0.176470588235294,"a","1.82 ± 0.18 a"
"Intensidad de color","Td",1.58823529411765,0.149971162164494,"a","1.59 ± 0.15 a"
"Intensidad aromática","Lt",1.52941176470588,0.15140632560275,"a","1.53 ± 0.15 a"
"Intensidad aromática","Mp",1.58823529411765,0.211069119035402,"a","1.59 ± 0.21 a"
"Intensidad aromática","S",1.82352941176471,0.214120879096486,"a","1.82 ± 0.21 a"
"Intensidad aromática","Td",1.82352941176471,0.196200942119505,"a","1.82 ± 0.20 a"
"Frutal","Lt",1.29411764705882,0.223025748354457,"a","1.29 ± 0.22 a"
"Frutal","Mp",1.11764705882353,0.224956743246741,"a","1.12 ± 0.22 a"
"Frutal","S",1.23529411764706,0.219112712143402,"a","1.24 ± 0.22 a"
"Frutal","Td",1.41176470588235,0.258087187864474,"a","1.41 ± 0.26 a"
"Floral","Lt",1.23529411764706,0.219112712143402,"a","1.24 ± 0.22 a"
"Floral","Mp",1.23529411764706,0.182495200676336,"a","1.24 ± 0.18 a"
"Floral","S",0.941176470588235,0.20056149554391,"a","0.94 ± 0.20 a"
"Floral","Td",1.35294117647059,0.190610020541408,"a","1.35 ± 0.19 a"
"Herbáceo","Lt",0.411764705882353,0.149971162164494,"a","0.41 ± 0.15 a"
"Herbáceo","Mp",0.764705882352941,0.219112712143402,"a","0.76 ± 0.22 a"
"Herbáceo","S",0.647058823529412,0.2259160514079,"a","0.65 ± 0.23 a"
"Herbáceo","Td",0.470588235294118,0.124783549621155,"a","0.47 ± 0.12 a"
"Tostado","Lt",0.470588235294118,0.15140632560275,"a","0.47 ± 0.15 a"
"Tostado","Mp",0.705882352941177,0.205882352941176,"a","0.71 ± 0.21 a"
"Tostado","S",0.882352941176471,0.269563276173873,"a","0.88 ± 0.27 a"
"Tostado","Td",0.647058823529412,0.2259160514079,"a","0.65 ± 0.23 a"
"Acidez","Lt",1.52941176470588,0.212091251497882,"a","1.53 ± 0.21 a"
"Acidez","Mp",1.70588235294118,0.223025748354457,"a","1.71 ± 0.22 a"
"Acidez","S",1.41176470588235,0.211069119035402,"a","1.41 ± 0.21 a"
"Acidez","Td",1.88235294117647,0.207972582701926,"a","1.88 ± 0.21 a"
"Amargo","Lt",1.41176470588235,0.227822549776907,"a","1.41 ± 0.23 a"
"Amargo","Mp",1.11764705882353,0.189472040098899,"a","1.12 ± 0.19 a"
"Amargo","S",1.47058823529412,0.228769840972118,"a","1.47 ± 0.23 a"
"Amargo","Td",1.17647058823529,0.274334678032024,"a","1.18 ± 0.27 a"
"Volumen en boca","Lt",1.70588235294118,0.223025748354457,"a","1.71 ± 0.22 a"
"Volumen en boca","Mp",1.11764705882353,0.189472040098899,"b","1.12 ± 0.19 b"
"Volumen en boca","S",1.41176470588235,0.172755001830452,"ab","1.41 ± 0.17 ab"
"Volumen en boca","Td",1.47058823529412,0.212091251497882,"ab","1.47 ± 0.21 ab"
"Dulzor","Lt",0.764705882352941,0.182495200676336,"a","0.76 ± 0.18 a"
"Dulzor","Mp",0.647058823529412,0.170232895629268,"a","0.65 ± 0.17 a"
"Dulzor","S",0.823529411764706,0.214120879096486,"a","0.82 ± 0.21 a"
"Dulzor","Td",0.647058823529412,0.170232895629268,"a","0.65 ± 0.17 a"
